signal_date,ticker,action,price,trade_value,trade_units,realized_pnl,post_trade_units,post_trade_cash
2026-05-13,AMD,HOLD,445.5,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,GOOGL,HOLD,402.6199951171875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,META,HOLD,616.6300048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,NVDA,HOLD,225.8300018310547,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,ASML,HOLD,1581.5799560546875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,AAPL,HOLD,298.8699951171875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,AVGO,HOLD,416.7900085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,LLY,HOLD,1015.75,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,XOM,HOLD,151.57000732421875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,SHEL,HOLD,84.93000030517578,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,TSM,HOLD,399.79998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,ETH-USD,HOLD,2257.576416015625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,SOL-USD,HOLD,91.0854721069336,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,VWCE.DE,HOLD,159.13999938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,EUNL.DE,HOLD,120.42500305175781,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,2B76.DE,HOLD,17.25,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,IQQH.DE,HOLD,10.815999984741211,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,500.PA,HOLD,126.19599914550781,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,TSLA,HOLD,443.29998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,AMD,HOLD,449.70001220703125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,GOOGL,HOLD,401.07000732421875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,META,HOLD,618.4299926757812,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,NVDA,HOLD,235.74000549316406,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,ASML,HOLD,1584.510009765625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,AAPL,HOLD,298.2099914550781,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,AVGO,HOLD,439.7900085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,LLY,HOLD,1006.7000122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,XOM,HOLD,152.77999877929688,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,SHEL,HOLD,84.51000213623047,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,TSM,HOLD,417.7200012207031,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,ETH-USD,HOLD,2257.576416015625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,SOL-USD,HOLD,91.0854721069336,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,VWCE.DE,HOLD,159.13999938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,EUNL.DE,HOLD,120.42500305175781,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,2B76.DE,HOLD,17.25,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,IQQH.DE,HOLD,10.815999984741211,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-14,500.PA,HOLD,126.19599914550781,0.0,0.0,0.0,0.0,21.090705035644532
